Date,Open,High,Low,Close,Volume
2017-01-01,998.05,998.05,998.05,998.05,998.05
2017-01-02,1019.1988000000001,1019.1988000000001,1019.1988000000001,1019.1988000000001,1019.1988000000001
2017-01-03,1035.5313,1035.5313,1035.5313,1035.5313,1035.5313
2017-01-04,1130.8495163207272,1130.8495163207272,1130.8495163207272,1130.8495163207272,1130.8495163207272
2017-01-05,990.6674999999997,990.6674999999997,990.6674999999997,990.6674999999997,990.6674999999997
2017-01-06,894.0325,894.0325,894.0325,894.0325,894.0325
2017-01-07,900.0787999999999,900.0787999999999,900.0787999999999,900.0787999999999,900.0787999999999
2017-01-08,908.0850000000004,908.0850000000004,908.0850000000004,908.0850000000004,908.0850000000004
2017-01-09,901.8788880390637,901.8788880390637,901.8788880390637,901.8788880390637,901.8788880390637
2017-01-10,905.7594626984339,905.7594626984339,905.7594626984339,905.7594626984339,905.7594626984339
2017-01-11,784.2775000000003,784.2775000000003,784.2775000000003,784.2775000000003,784.2775000000003
2017-01-12,799.4275,799.4275,799.4275,799.4275,799.4275
2017-01-13,824.4988000000003,824.4988000000003,824.4988000000003,824.4988000000003,824.4988000000003
2017-01-14,817.8250000000003,817.8250000000003,817.8250000000003,817.8250000000003,817.8250000000003
2017-01-15,821.9124999999998,821.9124999999998,821.9124999999998,821.9124999999998,821.9124999999998
2017-01-16,828.3099999999998,828.3099999999998,828.3099999999998,828.3099999999998,828.3099999999998
2017-01-17,904.1525000000003,904.1525000000003,904.1525000000003,904.1525000000003,904.1525000000003
2017-01-18,873.9349999999996,873.9349999999996,873.9349999999996,873.9349999999996,873.9349999999996
2017-01-19,896.89,896.89,896.89,896.89,896.89
2017-01-20,891.4588,891.4588,891.4588,891.4588,891.4588
2017-01-21,919.6775000000004,919.6775000000004,919.6775000000004,919.6775000000004,919.6775000000004
2017-01-22,918.7788120146554,918.7788120146554,918.7788120146554,918.7788120146554,918.7788120146554
2017-01-23,918.9075000000001,918.9075000000001,918.9075000000001,918.9075000000001,918.9075000000001
2017-01-24,885.7887999999999,885.7887999999999,885.7887999999999,885.7887999999999,885.7887999999999
2017-01-25,893.4737999999999,893.4737999999999,893.4737999999999,893.4737999999999,893.4737999999999
2017-01-26,915.3599999999999,915.3599999999999,915.3599999999999,915.3599999999999,915.3599999999999
2017-01-27,918.2875,918.2875,918.2875,918.2875,918.2875
2017-01-28,920.245,920.245,920.245,920.245,920.245
2017-01-29,914.1424999999998,914.1424999999998,914.1424999999998,914.1424999999998,914.1424999999998
2017-01-30,920.9911458822621,920.9911458822621,920.9911458822621,920.9911458822621,920.9911458822621
2017-01-31,968.2662999999999,968.2662999999999,968.2662999999999,968.2662999999999,968.2662999999999
2017-02-01,986.5728903454353,986.5728903454353,986.5728903454353,986.5728903454353,986.5728903454353
2017-02-02,1008.4033182231417,1008.4033182231417,1008.4033182231417,1008.4033182231417,1008.4033182231417
2017-02-03,1015.4425000000001,1015.4425000000001,1015.4425000000001,1015.4425000000001,1015.4425000000001
2017-02-04,1033.63,1033.63,1033.63,1033.63,1033.63
2017-02-05,1016.9261585954309,1016.9261585954309,1016.9261585954309,1016.9261585954309,1016.9261585954309
2017-02-06,1024.5110886063283,1024.5110886063283,1024.5110886063283,1024.5110886063283,1024.5110886063283
2017-02-07,1051.5000000000005,1051.5000000000005,1051.5000000000005,1051.5000000000005,1051.5000000000005
2017-02-08,1055.3013,1055.3013,1055.3013,1055.3013,1055.3013
2017-02-09,981.7049999999999,981.7049999999999,981.7049999999999,981.7049999999999,981.7049999999999
2017-02-10,992.1113,992.1113,992.1113,992.1113,992.1113
2017-02-11,1010.9462999999998,1010.9462999999998,1010.9462999999998,1010.9462999999998,1010.9462999999998
2017-02-12,1000.5237691031117,1000.5237691031117,1000.5237691031117,1000.5237691031117,1000.5237691031117
2017-02-13,996.1039358698114,996.1039358698114,996.1039358698114,996.1039358698114,996.1039358698114
2017-02-14,1010.1021618594351,1010.1021618594351,1010.1021618594351,1010.1021618594351,1010.1021618594351
2017-02-15,1008.8812999999999,1008.8812999999999,1008.8812999999999,1008.8812999999999,1008.8812999999999
2017-02-16,1034.9038000000003,1034.9038000000003,1034.9038000000003,1034.9038000000003,1034.9038000000003
2017-02-17,1056.5580910529798,1056.5580910529798,1056.5580910529798,1056.5580910529798,1056.5580910529798
2017-02-18,1058.5809306486606,1058.5809306486606,1058.5809306486606,1058.5809306486606,1058.5809306486606
2017-02-19,1053.5024999999998,1053.5024999999998,1053.5024999999998,1053.5024999999998,1053.5024999999998
2017-02-20,1082.0168234958396,1082.0168234958396,1082.0168234958396,1082.0168234958396,1082.0168234958396
2017-02-21,1125.4088148356532,1125.4088148356532,1125.4088148356532,1125.4088148356532,1125.4088148356532
2017-02-22,1123.3049999999998,1123.3049999999998,1123.3049999999998,1123.3049999999998,1123.3049999999998
2017-02-23,1185.6547846887681,1185.6547846887681,1185.6547846887681,1185.6547846887681,1185.6547846887681
2017-02-24,1180.8709999999999,1180.8709999999999,1180.8709999999999,1180.8709999999999,1180.8709999999999
2017-02-25,1149.4036781698383,1149.4036781698383,1149.4036781698383,1149.4036781698383,1149.4036781698383
2017-02-26,1180.6730000000002,1180.6730000000002,1180.6730000000002,1180.6730000000002,1180.6730000000002
2017-02-27,1193.1295150369579,1193.1295150369579,1193.1295150369579,1193.1295150369579,1193.1295150369579
2017-02-28,1190.3309999999997,1190.3309999999997,1190.3309999999997,1190.3309999999997,1190.3309999999997
2017-03-01,1227.4771489660905,1227.4771489660905,1227.4771489660905,1227.4771489660905,1227.4771489660905
2017-03-02,1262.0810000000001,1262.0810000000001,1262.0810000000001,1262.0810000000001,1262.0810000000001
2017-03-03,1289.5406116191473,1289.5406116191473,1289.5406116191473,1289.5406116191473,1289.5406116191473
2017-03-04,1268.8145320151446,1268.8145320151446,1268.8145320151446,1268.8145320151446,1268.8145320151446
2017-03-05,1276.2330000000002,1276.2330000000002,1276.2330000000002,1276.2330000000002,1276.2330000000002
2017-03-06,1280.9859999999996,1280.9859999999996,1280.9859999999996,1280.9859999999996,1280.9859999999996
2017-03-07,1233.0565084079958,1233.0565084079958,1233.0565084079958,1233.0565084079958,1233.0565084079958
2017-03-08,1149.6310000000003,1149.6310000000003,1149.6310000000003,1149.6310000000003,1149.6310000000003
2017-03-09,1191.2367224851023,1191.2367224851023,1191.2367224851023,1191.2367224851023,1191.2367224851023
2017-03-10,1100.0105899712148,1100.0105899712148,1100.0105899712148,1100.0105899712148,1100.0105899712148
2017-03-11,1181.2041227520244,1181.2041227520244,1181.2041227520244,1181.2041227520244,1181.2041227520244
2017-03-12,1230.56,1230.56,1230.56,1230.56,1230.56
2017-03-13,1243.2649223901926,1243.2649223901926,1243.2649223901926,1243.2649223901926,1243.2649223901926
2017-03-14,1246.5567394807624,1246.5567394807624,1246.5567394807624,1246.5567394807624,1246.5567394807624
2017-03-15,1258.4569999999999,1258.4569999999999,1258.4569999999999,1258.4569999999999,1258.4569999999999
2017-03-16,1217.3145410078776,1217.3145410078776,1217.3145410078776,1217.3145410078776,1217.3145410078776
2017-03-17,1074.0938695062455,1074.0938695062455,1074.0938695062455,1074.0938695062455,1074.0938695062455
2017-03-18,961.9620000000001,961.9620000000001,961.9620000000001,961.9620000000001,961.9620000000001
2017-03-19,1023.4901008756748,1023.4901008756748,1023.4901008756748,1023.4901008756748,1023.4901008756748
2017-03-20,1036.3320123738727,1036.3320123738727,1036.3320123738727,1036.3320123738727,1036.3320123738727
2017-03-21,1112.701532272989,1112.701532272989,1112.701532272989,1112.701532272989,1112.701532272989
2017-03-22,1039.8401726478428,1039.8401726478428,1039.8401726478428,1039.8401726478428,1039.8401726478428
2017-03-23,1029.1394137431018,1029.1394137431018,1029.1394137431018,1029.1394137431018,1029.1394137431018
2017-03-24,940.0206265591036,940.0206265591036,940.0206265591036,940.0206265591036,940.0206265591036
